original_index,brand,year,old_id,action,new_id,old_score,new_score,outcome,reason
1,1 Percent Lists,2025,U_47621ef6::2025,CHRONOLOGY_RESOLUTION,U_47621ef6::2025,NA,2,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 2 selected.
2,1% Lists,2025,U_46c577ea::2025,IDENTITY_CONSOLIDATION,U_47621ef6::2025,NA,2,RESOLVED,Duplicate 1 Percent Lists / 1% Lists 2025 identities consolidated before chronology adjudication.
3,911 Restoration,2017,S2471::2017,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,S2471::2017,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
4,"ActionCOACH OneCo, LLC",2022,S0069::2022,OFFERING_SPLIT,S0069::2022 | R_S0069_MASTER::2022,NA,0 | 2,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
5,Allegra Network LLC,2017,U_81e39a71::2017,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,U_81e39a71::2017,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
6,Aluxa Homes,2017,S2895::2017,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,S2895::2017,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
7,Always Best Care Senior Services,2024,S0097::2024,VERIFIED_STATE_SPECIFIC_RETAINED,S0097::2024,NA,NA,RETAINED_NA,Valid state/source-specific versions contain substantive Item 10 differences; no national controlling version is imposed.
8,Always Best Care Senior Services,2025,S0097::2025,VERIFIED_STATE_SPECIFIC_RETAINED,S0097::2025,NA,NA,RETAINED_NA,Valid state/source-specific versions contain substantive Item 10 differences; no national controlling version is imposed.
9,American Poolplayers Association,2018,S0110::2018,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,S0110::2018,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
10,AmerisourceBergen Drug Corporation,2015,U_14748de9::2015,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,U_14748de9::2015,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
11,ARCpoint Labs,2017,S0052::2017,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,S0052::2017,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
12,Area Representative,2026,U_f777bec1::2026,IDENTITY_REMAP,S7513::2026,NA,NA,SPLIT_WITH_REMAINING_NA,Generic/misbucketed identity was remapped to the correct franchise offering; remaining score conflict is preserved as NA.
13,Arthur Murray Dance Studio,2024,S0137::2024,VERIFIED_STATE_SPECIFIC_RETAINED,S0137::2024,NA,NA,RETAINED_NA,Valid state/source-specific versions contain substantive Item 10 differences; no national controlling version is imposed.
14,"Astral Health & Beauty, Inc",2016,U_4313bcd4::2016,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,U_4313bcd4::2016,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
15,Asurion Tech Repair & Solutions,2022,U_69da0026::2022,METADATA_INSUFFICIENT_RETAINED,U_69da0026::2022,NA,NA,RETAINED_NA,"Filing metadata is insufficient to establish chronology, state applicability, or offering control; score remains NA."
16,Barrio Burrito Bar,2023,S6962::2023,OFFERING_SPLIT,S6962::2023 | R_BARRIO_MASTER::2023,NA,0 | 2,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
17,Barrio Burrito Bar,2024,S6962::2024,OFFERING_SPLIT,S6962::2024 | R_BARRIO_MASTER::2024,NA,0 | 2,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
18,beem Light Sauna,2025,S7255::2025,CHRONOLOGY_CANDIDATE_NEEDS_SCOPE_CHECK,S7255::2025,NA,NA,RETAINED_NA,Later-looking version exists but amendment scope/supersession is not strong enough to force a score.
19,Bennigan's,2017,S0209::2017,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,S0209::2017,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
20,Body20,2025,S3851::2025,CHRONOLOGY_CANDIDATE_NEEDS_SCOPE_CHECK,S3851::2025,NA,NA,RETAINED_NA,Later-looking version exists but amendment scope/supersession is not strong enough to force a score.
21,BODYBAR,2025,U_2fc51a32::2025,METADATA_INSUFFICIENT_RETAINED,U_2fc51a32::2025,NA,NA,RETAINED_NA,"Filing metadata is insufficient to establish chronology, state applicability, or offering control; score remains NA."
22,Boulder Design,2022,S0242::2022,METADATA_INSUFFICIENT_RETAINED,S0242::2022,NA,NA,RETAINED_NA,"Filing metadata is insufficient to establish chronology, state applicability, or offering control; score remains NA."
23,"Brightway Insurance, Inc",2014,U_2f593292::2014,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,U_2f593292::2014,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
24,Cardio Barre,2017,S0345::2017,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,S0345::2017,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
25,Casago,2025,S8145::2025,IDENTITY_REVIEW_RETAINED,S8145::2025,NA,NA,RETAINED_NA,Identity/year evidence remains insufficient for safe adjudication; score remains NA.
26,Charleys,2022,S0360::2022,VERIFIED_STATE_SPECIFIC_RETAINED,S0360::2022,NA,NA,RETAINED_NA,Valid state/source-specific versions contain substantive Item 10 differences; no national controlling version is imposed.
27,"Children's Montessori Systems, LLC",2017,U_e93d646d::2017,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,U_e93d646d::2017,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
28,CI Franchise Company LLC,2015,U_6dbfc841::2015,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,U_6dbfc841::2015,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
29,Class 101,2022,S3306::2022,CHRONOLOGY_RESOLUTION,S3306::2022,NA,0,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 0 selected.
30,Club Pilates,2015,S0395::2015,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,S0395::2015,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
31,Color Glo,2024,S0404::2024,VERIFIED_STATE_SPECIFIC_RETAINED,S0404::2024,NA,NA,RETAINED_NA,Valid state/source-specific versions contain substantive Item 10 differences; no national controlling version is imposed.
32,Colors on Parade,2023,S0407::2023,VERIFIED_STATE_SPECIFIC_RETAINED,S0407::2023,NA,NA,RETAINED_NA,Valid state/source-specific versions contain substantive Item 10 differences; no national controlling version is imposed.
33,Colors On Parade / CarLove,2025,U_90210d93::2025,IDENTITY_REVIEW_RETAINED,U_90210d93::2025,NA,NA,RETAINED_NA,Identity/year evidence remains insufficient for safe adjudication; score remains NA.
34,Comfort Keepers,2023,U_072fbbe7::2023,METADATA_INSUFFICIENT_RETAINED,U_072fbbe7::2023,NA,NA,RETAINED_NA,"Filing metadata is insufficient to establish chronology, state applicability, or offering control; score remains NA."
35,Curb-Ease,2018,S3837::2018,SAME_STATE_SAME_DATE_PARALLEL_RETAINED,S3837::2018,NA,NA,RETAINED_NA,Parallel versions cannot be safely ordered by chronology; score remains NA.
36,DivaDance Company,2024,S5362::2024,OFFERING_SPLIT,S5362::2024 | R_S5362_AREA_REP::2024,NA,2 | 0,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
37,DivaDance Company,2025,S5362::2025,OFFERING_SPLIT,S5362::2025 | R_S5362_AREA_REP::2025,NA,2 | 0,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
38,DivaDance Company,2026,S5362::2026,OFFERING_SPLIT,S5362::2026 | R_S5362_AREA_REP::2026,NA,2 | 0,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
