original_index,brand,year,old_id,action,new_id,old_score,new_score,outcome,reason
4,"ActionCOACH OneCo, LLC",2022,S0069::2022,OFFERING_SPLIT,S0069::2022 | R_S0069_MASTER::2022,NA,0 | 2,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
12,Area Representative,2026,U_f777bec1::2026,IDENTITY_REMAP,S7513::2026,NA,NA,SPLIT_WITH_REMAINING_NA,Generic/misbucketed identity was remapped to the correct franchise offering; remaining score conflict is preserved as NA.
16,Barrio Burrito Bar,2023,S6962::2023,OFFERING_SPLIT,S6962::2023 | R_BARRIO_MASTER::2023,NA,0 | 2,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
17,Barrio Burrito Bar,2024,S6962::2024,OFFERING_SPLIT,S6962::2024 | R_BARRIO_MASTER::2024,NA,0 | 2,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
36,DivaDance Company,2024,S5362::2024,OFFERING_SPLIT,S5362::2024 | R_S5362_AREA_REP::2024,NA,2 | 0,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
37,DivaDance Company,2025,S5362::2025,OFFERING_SPLIT,S5362::2025 | R_S5362_AREA_REP::2025,NA,2 | 0,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
38,DivaDance Company,2026,S5362::2026,OFFERING_SPLIT,S5362::2026 | R_S5362_AREA_REP::2026,NA,2 | 0,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
45,FYZICAL,2026,S0616::2026,OFFERING_SPLIT,S0616::2026 | R_S0616_AREA_REP::2026,NA,NA | 2,SPLIT_WITH_REMAINING_NA,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
59,IHOP - Traditional Program,2024,S0846::2024,OFFERING_SPLIT,S0846::2024 | R_S0846_NONTRAD::2024,NA,4 | 0,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
60,IHOP - Traditional Program,2025,S0846::2025,OFFERING_SPLIT,S0846::2025 | R_S0846_NONTRAD::2025,NA,4 | 0,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
61,International House of Pancakes,2022,S0846::2022,OFFERING_SPLIT,S0846::2022 | R_S0846_NONTRAD::2022,NA,4 | 0,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
62,International House of Pancakes,2023,S0846::2023,OFFERING_SPLIT,S0846::2023 | R_S0846_NONTRAD::2023,NA,4 | 0,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
63,International House of Pancakes,2026,S0846::2026,OFFERING_SPLIT,S0846::2026 | R_S0846_NONTRAD::2026,NA,4 | 0,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
73,Ledgers - Area Representative,2023,U_2b5decdd::2023,OFFERING_REASSIGNMENT,U_2b5decdd::2023 | U_74ea0954::2023,NA,0 | 2,RESOLVED,One version belongs to another existing offering identity and is reassigned rather than treated as a temporal conflict.
75,Live Hydration Spa Franchise LLC (Area Representative),2023,S6426::2023,OFFERING_SPLIT,S6426::2023 | R_S6426_UNIT::2023,NA,0 | NA,SPLIT_WITH_REMAINING_NA,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
95,Pet Evolution,2025,S6636::2025,OFFERING_SPLIT,S6636::2025 | R_S6636_RD::2025,NA,2 | 0,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
99,Pizza Hut (Non-Traditional),2022,S1313::2022,OFFERING_SPLIT,S1313::2022 | R_S1313_TRAD::2022,NA,0 | 3,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
110,Scissors & Scotch,2022,S2569::2022,OFFERING_SPLIT,S2569::2022 | R_S2569_AREA_REP::2022,NA,0 | 1,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
123,Steak n Shake By Biglari,2023,S1623::2023,OFFERING_SPLIT_AND_IDENTITY_STABILIZATION,R_STEAKNSHAKE_STD::2023 | R_STEAKNSHAKE_PARTNER::2023,NA,1 | 4,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
124,STEAK N SHAKE ENTERPRISES INC,2024,U_360da32d::2024,OFFERING_SPLIT_AND_IDENTITY_STABILIZATION,R_STEAKNSHAKE_STD::2024 | R_STEAKNSHAKE_PARTNER::2024,NA,1 | 4,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
125,STEAK N SHAKE ENTERPRISES INC,2025,U_360da32d::2025,OFFERING_SPLIT_AND_IDENTITY_STABILIZATION,R_STEAKNSHAKE_STD::2025 | R_STEAKNSHAKE_PARTNER::2025,NA,1 | 4,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
143,Toro Taxes - Area Representative Offering,2024,S3620::2024,OFFERING_SPLIT,S3620::2024 | R_TORO_TAXES_UNIT::2024,NA,2 | 4,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
144,Toro Taxes - Area Representative Offering,2025,S3620::2025,OFFERING_SPLIT,S3620::2025 | R_TORO_TAXES_UNIT::2025,NA,2 | 4,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
145,Toro Taxes Franchise LLC - Area Representative Offering,2023,S3620::2023,OFFERING_SPLIT,S3620::2023 | R_TORO_TAXES_UNIT::2023,NA,2 | 4,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
146,Toro Taxes Franchise LLC - Area Representative Offering,2026,S3620::2026,OFFERING_SPLIT_PLUS_YEAR_QC,S3620::2026 | R_TORO_TAXES_UNIT::2026,NA,2 | 4,RESOLVED,Distinct offering/program identities were incorrectly pooled in V1.1; V1.2 separates them before scoring.
