original_index,brand,year,old_id,action,new_id,old_score,new_score,outcome,reason
1,1 Percent Lists,2025,U_47621ef6::2025,CHRONOLOGY_RESOLUTION,U_47621ef6::2025,NA,2,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 2 selected.
29,Class 101,2022,S3306::2022,CHRONOLOGY_RESOLUTION,S3306::2022,NA,0,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 0 selected.
41,F45 Training,2022,S0596::2022,CHRONOLOGY_RESOLUTION,S0596::2022,NA,4,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 4 selected.
49,Granite Garage Floors,2022,S5537::2022,CHRONOLOGY_RESOLUTION,S5537::2022,NA,2,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 2 selected.
50,Heating + Air Paramedics,2022,S7771::2022,CHRONOLOGY_RESOLUTION,S7771::2022,NA,2,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 2 selected.
66,Jamba,2025,S0897::2025,CHRONOLOGY_RESOLUTION,S0897::2025,NA,3,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 3 selected.
70,Kitchen Wise,2023,S2545::2023,CHRONOLOGY_RESOLUTION,S2545::2023,NA,0,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 0 selected.
71,Landingplace Select,2025,S8427::2025,CHRONOLOGY_RESOLUTION,S8427::2025,NA,0,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 0 selected.
72,Landingplace Suites,2025,S8428::2025,CHRONOLOGY_RESOLUTION,S8428::2025,NA,0,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 0 selected.
80,Men in Kilts,2022,S4949::2022,CHRONOLOGY_RESOLUTION,S4949::2022,NA,2,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 2 selected.
93,"Pestmaster Franchise Network, LLC",2022,S3006::2022,CHRONOLOGY_RESOLUTION,S3006::2022,NA,2,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 2 selected.
101,Plumbing Paramedics,2022,S7998::2022,CHRONOLOGY_RESOLUTION,S7998::2022,NA,2,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 2 selected.
112,Sir Grout,2022,S5830::2022,CHRONOLOGY_RESOLUTION,S5830::2022,NA,2,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 2 selected.
114,Smartstyle,2022,S2274::2022,CHRONOLOGY_RESOLUTION,S2274::2022,NA,3,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 3 selected.
117,Smash My Trash,2022,S3588::2022,CHRONOLOGY_RESOLUTION,S3588::2022,NA,4,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 4 selected.
126,Stretch Lab,2023,S3245::2023,CHRONOLOGY_RESOLUTION,S3245::2023,NA,1,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 1 selected.
133,The Human Bean,2026,S1763::2026,CHRONOLOGY_RESOLUTION,S1763::2026,NA,1,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 1 selected.
134,The Junkluggers,2023,S1765::2023,CHRONOLOGY_RESOLUTION,S1765::2023,NA,2,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 2 selected.
150,USA Insulation,2022,S1838::2022,CHRONOLOGY_RESOLUTION,S1838::2022,NA,2,RESOLVED,Unambiguous within-offering chronology identifies the controlling later amendment/version; RiskScore 2 selected.
